IncidentNumber,CalYear,PropertyCategory,IncGeo_WardCode,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround
136148-06102019,2019,Dwelling,E05013511,Sudbury,516450,185550,Wembley
136162-06102019,2019,Dwelling,E05014094,Woolwich Dockyard,542350,178650,East Greenwich
136183-06102019,2019,Dwelling,E05013638,Edgwarebury,519950,193650,Mill Hill
136285-06102019,2019,Dwelling,E05013749,Walham Green,525350,177450,Fulham
136300-06102019,2019,Dwelling,E05014077,Eltham Page,541650,175650,Lee Green
136327-06102019,2019,Dwelling,E05013593,Hornsey,530250,189550,Hornsey
136341-06102019,2019,Dwelling,E05013554,North Harrow,513450,188250,Harrow
136350-06102019,2019,Dwelling,E05009333,Spitalfields & Banglatown,533850,181550,Whitechapel
136365-06102019,2019,Dwelling,E05013636,East Finchley,526250,190150,Finchley
136398-06102019,2019,Dwelling,E05013605,Woodside,530650,190950,Hornsey
136408-06102019,2019,Dwelling,E05013675,Bullsmoor,535450,199150,Enfield
136424-06102019,2019,Dwelling,E05013529,North Hanwell,515750,181550,Ealing
136435-06102019,2019,Dwelling,E05009379,KING'S PARK,536150,185250,Homerton
136445-06102019,2019,Dwelling,E05011486,THORNTON HEATH,532550,168350,Norbury
136449-06102019,2019,Dwelling,E05013612,Cranford,511350,175950,Feltham
136453-06102019,2019,Dwelling,E05013581,West Drayton,505950,179350,Hayes
136460-06102019,2019,Dwelling,E05013733,Addison,523350,179150,Hammersmith
136469-06102019,2019,Dwelling,E05013510,Stonebridge,520450,185250,Wembley
136488-06102019,2019,Dwelling,E05013767,Sutton South,526150,163550,Sutton
136553-07102019,2019,Dwelling,E05013746,Ravenscourt,522650,178850,Hammersmith
136615-07102019,2019,Dwelling,E05013698,Barnsbury,531050,183450,Islington
136711-07102019,2019,Dwelling,E05013808,West End,529650,180950,Soho
136741-07102019,2019,Dwelling,E05013804,Queen's Park,524150,182750,North Kensington
136781-07102019,2019,Other Residential,E05009331,St. Peter's,534950,183250,Bethnal Green
136838-07102019,2019,Dwelling,E05013515,Wembley Hill,518750,185750,Wembley
136841-07102019,2019,Dwelling,E05009397,HOLLAND,524050,179750,Hammersmith
136895-07102019,2019,Dwelling,E05013549,Hatch End,513250,191550,Harrow
136930-07102019,2019,Dwelling,E05011097,CHAMPION HILL,533350,175750,Peckham
136982-07102019,2019,Dwelling,E05009385,STOKE NEWINGTON,533650,186750,Stoke Newington
137058-08102019,2019,Dwelling,E05011232,THAMESMEAD EAST,548350,179350,Erith
137231-08102019,2019,Dwelling,E05014115,Streatham St. Leonard's,529850,171450,Norbury
137253-08102019,2019,Dwelling,E05013909,East Ham,542350,183650,East Ham
137262-08102019,2019,Dwelling,E05013550,Headstone,514450,189150,Harrow
137275-08102019,2019,Dwelling,E05013820,Merton Park,524750,169450,Wimbledon
137306-08102019,2019,Dwelling,E05013755,Belmont,525950,162850,Sutton
137371-08102019,2019,Dwelling,E05014030,West Putney,523150,174550,Wandsworth
137389-08102019,2019,Dwelling,E05014107,Myatt's Fields,531750,176950,Brixton
137398-08102019,2019,Dwelling,E05014002,Penge & Cator,535450,169950,Beckenham
137498-09102019,2019,Other Residential,E05013591,Hermitage & Gardens,532750,188650,Tottenham
137509-09102019,2019,Dwelling,E05009386,VICTORIA,535150,184050,Bethnal Green
137531-09102019,2019,Dwelling,E05014088,Plumstead Common,544350,177550,Plumstead
137590-09102019,2019,Dwelling,E05013532,Northolt West End,512350,182550,Southall
137662-09102019,2019,Dwelling,E05009399,NOTTING DALE,524150,180650,North Kensington
137685-09102019,2019,Dwelling,E05009394,DALGARNO,523650,182050,North Kensington
137710-09102019,2019,Dwelling,E05013786,South Richmond,518750,175050,Richmond
137754-09102019,2019,Dwelling,E05013888,Grove Green,538150,186550,Leyton
137779-09102019,2019,Dwelling,E05013767,Sutton South,526350,163750,Sutton
137805-09102019,2019,Dwelling,E05013501,Harlesden & Kensal Green,521750,183050,Park Royal
137824-09102019,2019,Dwelling,E05011110,PECKHAM,534350,177150,Peckham
137827-09102019,2019,Dwelling,E05009388,ABINGDON,525350,178950,Kensington
137846-09102019,2019,Dwelling,E05013501,Harlesden & Kensal Green,521650,184050,Willesden
137848-09102019,2019,Dwelling,E05013765,Sutton Central,525850,164650,Sutton
137872-09102019,2019,Dwelling,E05014076,East Greenwich,539350,178150,East Greenwich
137889-09102019,2019,Dwelling,E05013690,Ridgeway,531350,196850,Southgate
137911-09102019,2019,Dwelling,E05013980,Rush Green & Crowlands,550850,187850,Dagenham
138100-10102019,2019,Dwelling,E05014065,Mayesbrook,546950,184950,Barking
138144-10102019,2019,Dwelling,E05014063,Heath,549250,186850,Dagenham
138185-10102019,2019,Dwelling,E05011465,BROAD GREEN,531850,167050,Norbury
138212-10102019,2019,Dwelling,E05013552,Kenton West,516150,189250,Stanmore
138247-10102019,2019,Dwelling,E05014026,Wandle,526350,174150,Wandsworth
138269-10102019,2019,Dwelling,E05013570,Heathrow Villages,507450,177450,Hayes
138293-10102019,2019,Dwelling,E05011095,BOROUGH & BANKSIDE,532350,179850,Dowgate
138370-10102019,2019,Dwelling,E05014107,Myatt's Fields,531250,176950,Brixton
138427-10102019,2019,Dwelling,E05013944,Surbiton Hill,518550,167450,Surbiton
138463-10102019,2019,Dwelling,E05011232,THAMESMEAD EAST,547750,179450,Erith
138498-10102019,2019,Dwelling,E05013550,Headstone,514250,188250,Harrow
138515-10102019,2019,Dwelling,E05014104,Herne Hill & Loughborough Junction,531750,174450,Brixton
138531-11102019,2019,Dwelling,E05013971,Gooshays,554950,192150,Harold Hill
138547-11102019,2019,Dwelling,E05013569,Hayes Town,510050,180250,Hayes
138549-11102019,2019,Dwelling,E05013583,Yeading,511050,182150,Southall
138570-11102019,2019,Dwelling,E05013697,Arsenal,531350,186350,Holloway
138623-11102019,2019,Dwelling,E05013906,Canning Town North,539850,181950,Plaistow
138624-11102019,2019,Dwelling,E05011464,BENSHAM MANOR,531550,168650,Norbury
138638-11102019,2019,Dwelling,E05009367,BROWNSWOOD,532250,186550,Stoke Newington
138694-11102019,2019,Dwelling,E05011225,ERITH,551150,177950,Erith
138739-11102019,2019,Dwelling,E05013582,Wood End,508550,181650,Hillingdon
138743-11102019,2019,Dwelling,E05009336,Whitechapel,533950,181250,Whitechapel
138792-11102019,2019,Dwelling,E05013672,Arnos Grove,529950,193050,Southgate
138812-11102019,2019,Dwelling,E05013882,Cann Hall,539050,185750,Leytonstone
138822-11102019,2019,Dwelling,E05011252,SOUTH WOODFORD,540550,189750,Woodford
138860-11102019,2019,Dwelling,E05013795,Harrow Road,524750,182050,North Kensington
138867-11102019,2019,Dwelling,E05013527,North Acton,520350,180550,Acton
138891-11102019,2019,Dwelling,E05013699,Bunhill,532550,182550,Shoreditch
138904-11102019,2019,Dwelling,E05013599,South Tottenham,533750,189550,Tottenham
138917-11102019,2019,Dwelling,E05013905,Boleyn,541850,182850,East Ham
138921-11102019,2019,Dwelling,E05014019,Shaftesbury & Queenstown,529450,176650,Clapham
138979-11102019,2019,Dwelling,E05011116,SOUTH BERMONDSEY,534150,178950,Dockhead
138991-11102019,2019,Dwelling,E05013564,Belmore,509850,181550,Hillingdon
138992-11102019,2019,Dwelling,E05013915,Little Ilford,543150,186050,Ilford
139015-12102019,2019,Dwelling,E05013629,Brunswick Park,527850,194350,Barnet
139021-12102019,2019,Dwelling,E05013661,Highgate,528550,186050,Kentish Town
139022-12102019,2019,Dwelling,E05013529,North Hanwell,514850,180750,Ealing
139041-12102019,2019,Dwelling,E05013536,South Acton,520050,179550,Acton
139054-12102019,2019,Dwelling,E05014016,Northcote,527750,174850,Battersea
139251-12102019,2019,Dwelling,E05011229,ST. MARY'S & ST. JAMES,548350,170950,Sidcup
139269-12102019,2019,Dwelling,E05014065,Mayesbrook,547250,185550,Dagenham
139273-12102019,2019,Dwelling,E05013808,West End,528950,182050,Euston
139291-12102019,2019,Dwelling,E05009318,Blackwall & Cubitt Town,538350,179650,Millwall
139350-12102019,2019,Dwelling,E05011485,SOUTH NORWOOD,533550,168150,Woodside
139356-12102019,2019,Dwelling,E05013637,Edgware,520250,192550,Mill Hill
139362-12102019,2019,Dwelling,E05014007,St. Paul's Cray,546250,168650,Orpington
139365-12102019,2019,Dwelling,E05013575,Northwood Hills,510050,189350,Ruislip
139369-12102019,2019,Dwelling,E05013912,Forest Gate South,540550,184650,Stratford
139391-12102019,2019,Dwelling,E05013698,Barnsbury,531350,184250,Islington
139449-12102019,2019,Other Residential,E05013716,Brockley,537150,176750,Greenwich
139482-12102019,2019,Dwelling,E05013704,Highbury,532350,185350,Islington
139486-12102019,2019,Dwelling,E05011244,GOODMAYES,546550,186350,Ilford
139549-13102019,2019,Dwelling,E05014087,Plumstead & Glyndon,545550,178750,Plumstead
139560-13102019,2019,Dwelling,E05013744,Palace & Hurlingham,524050,176750,Fulham
139594-13102019,2019,Dwelling,E05013918,Plaistow North,540350,183550,Stratford
139626-13102019,2019,Dwelling,E05013515,Wembley Hill,518650,184750,Wembley
139636-13102019,2019,Dwelling,E05013740,Grove,522850,179250,Hammersmith
139638-13102019,2019,Dwelling,E05013937,Kingston Gate,518650,170050,Kingston
139681-13102019,2019,Dwelling,E05013695,Whitewebbs,532750,197950,Enfield
139692-13102019,2019,Dwelling,E05013810,Abbey,525950,169850,Wimbledon
139706-13102019,2019,Dwelling,E05014102,Clapham Town,529050,175450,Clapham
139737-13102019,2019,Dwelling,E05013606,Bedfont,508850,173850,Feltham
139744-13102019,2019,Dwelling,E05013734,Avonmore,523850,178450,Hammersmith
139745-13102019,2019,Dwelling,E05013596,Northumberland Park,534250,191450,Tottenham
139746-13102019,2019,Dwelling,E05013774,Barnes,522750,177950,Hammersmith
139766-13102019,2019,Dwelling,E05013749,Walham Green,525250,177350,Fulham
139773-13102019,2019,Dwelling,E05013707,Junction,529650,186850,Holloway
139808-13102019,2019,Dwelling,E05011247,LOXFORD,544350,185150,Ilford
139845-13102019,2019,Dwelling,E05013508,Queensbury,519250,188450,Stanmore
139847-13102019,2019,Dwelling,E05013614,Feltham West,510050,172750,Feltham
139872-13102019,2019,Dwelling,E05013520,Ealing Broadway,517950,181450,Ealing
139878-13102019,2019,Dwelling,E05013587,Bruce Castle,533450,190250,Tottenham
139889-13102019,2019,Dwelling,E05014093,Woolwich Common,544250,178450,Plumstead
139917-13102019,2019,Dwelling,E05013639,Finchley Church End,524850,189850,Finchley
139936-13102019,2019,Dwelling,E05014005,Shortlands & Park Langley,539450,168250,Bromley
139986-13102019,2019,Dwelling,E05013702,Clerkenwell,531050,182950,Islington
140034-14102019,2019,Dwelling,E05013915,Little Ilford,543150,185850,Ilford
140235-14102019,2019,Dwelling,E05014075,Charlton Village & Riverside,541750,177850,East Greenwich
140248-14102019,2019,Dwelling,E05013811,Cannon Hill,524850,168650,Wimbledon
140249-14102019,2019,Dwelling,E05013601,Tottenham Central,533250,189950,Tottenham
140261-14102019,2019,Dwelling,E05013793,Bayswater,526050,181350,Paddington
140275-14102019,2019,Dwelling,E05014095,Brixton Acre Lane,530350,175250,Brixton
140306-14102019,2019,Dwelling,E05013768,Sutton West & East Cheam,524850,164550,Sutton
140313-14102019,2019,Dwelling,E05013980,Rush Green & Crowlands,550950,188050,Dagenham
140338-14102019,2019,Dwelling,E05013534,Perivale,516150,182850,Ealing
140349-14102019,2019,Dwelling,E05011103,GOOSE GREEN,533350,174750,Peckham
140353-14102019,2019,Dwelling,E05013564,Belmore,511050,181250,Southall
140415-14102019,2019,Dwelling,E05009327,Mile End,537350,181050,Poplar
140440-14102019,2019,Other Residential,E05013652,Belsize,527150,185250,Kentish Town
140441-14102019,2019,Dwelling,E05013932,Coombe Hill,519950,170750,New Malden
140444-14102019,2019,Dwelling,E05014013,Furzedown,529150,171750,Tooting
140452-14102019,2019,Dwelling,E05014020,South Balham,528150,172450,Tooting
140465-14102019,2019,Dwelling,E05013798,Lancaster Gate,526150,180850,Paddington
140494-15102019,2019,Dwelling,E05013916,Manor Park,542450,185750,Ilford
140540-15102019,2019,Dwelling,E05009335,Weavers,533550,182750,Shoreditch
140550-15102019,2019,Dwelling,E05013682,Haselbury,534150,194150,Edmonton
140651-15102019,2019,Dwelling,E05014019,Shaftesbury & Queenstown,528350,175850,Battersea
140686-15102019,2019,Dwelling,E05013656,Fortune Green,524750,185250,West Hampstead
140711-15102019,2019,Dwelling,E05013793,Bayswater,525550,180650,Kensington
140758-15102019,2019,Dwelling,E05013699,Bunhill,532150,182350,Shoreditch
140783-15102019,2019,Dwelling,E05009327,Mile End,536550,181350,Poplar
140785-15102019,2019,Dwelling,E05013676,Bush Hill Park,532450,194050,Edmonton
140822-15102019,2019,Dwelling,E05013751,West Kensington,524850,178150,Fulham
140852-15102019,2019,Dwelling,E05013692,Southgate,529650,193950,Southgate
140860-15102019,2019,Dwelling,E05013534,Perivale,517350,183850,Wembley
140898-15102019,2019,Dwelling,E05013538,Southall Green,511750,179050,Southall
140916-15102019,2019,Dwelling,E05014103,Gipsy Hill,533150,171050,West Norwood
140920-15102019,2019,Dwelling,E05013922,Royal Albert,543250,180050,East Ham
140936-16102019,2019,Other Residential,E05013766,Sutton North,526350,165350,Sutton
141022-16102019,2019,Dwelling,E05011479,SELHURST,532650,167350,Croydon
141066-16102019,2019,Dwelling,E05011226,FALCONWOOD & WELLING,546250,175950,Plumstead
141101-16102019,2019,Other Residential,E05014104,Herne Hill & Loughborough Junction,532150,176350,Brixton
141182-16102019,2019,Dwelling,E05014076,East Greenwich,539850,178450,East Greenwich
141187-16102019,2019,Dwelling,E05013606,Bedfont,508350,173250,Feltham
141198-16102019,2019,Dwelling,E05013982,St. Andrew's,553450,187150,Hornchurch
141239-16102019,2019,Dwelling,E05013944,Surbiton Hill,518650,166750,Surbiton
141258-16102019,2019,Dwelling,E05013593,Hornsey,530550,189050,Hornsey
141265-16102019,2019,Dwelling,E05009374,HACKNEY WICK,536450,184750,Homerton
141276-16102019,2019,Dwelling,E05013768,Sutton West & East Cheam,525650,164350,Sutton
141313-16102019,2019,Dwelling,E05013908,Custom House,540950,181250,Plaistow
141349-16102019,2019,Dwelling,E05013887,Forest,538150,187850,Leyton
141367-16102019,2019,Dwelling,E05013910,East Ham South,543650,182750,East Ham
141387-16102019,2019,Dwelling,E05013737,Coningham,522650,179550,Hammersmith
141423-16102019,2019,Dwelling,E05014095,Brixton Acre Lane,530850,175050,Brixton
141442-17102019,2019,Other Residential,E05011468,FAIRFIELD,532550,165750,Croydon
141474-17102019,2019,Dwelling,E05009391,CHELSEA RIVERSIDE,526350,177150,Chelsea
141482-17102019,2019,Dwelling,E05013711,St. Peter's & Canalside,531650,183150,Islington
141538-17102019,2019,Dwelling,E05011226,FALCONWOOD & WELLING,545450,175050,Eltham
141567-17102019,2019,Dwelling,E05013725,Ladywell,536950,174650,Lewisham
141620-17102019,2019,Dwelling,E05014088,Plumstead Common,545150,177050,Plumstead
141648-17102019,2019,Dwelling,E05013670,South Hampstead,526350,184350,West Hampstead
141692-17102019,2019,Dwelling,E05013725,Ladywell,537450,175750,Lewisham
141708-17102019,2019,Dwelling,E05014113,Streatham Hill East,530650,172650,West Norwood
141718-17102019,2019,Dwelling,E05013809,Westbourne,525350,181850,Paddington
141751-17102019,2019,Dwelling,E05009327,Mile End,537350,181650,Poplar
141799-17102019,2019,Dwelling,E05013731,Sydenham,534550,171650,Forest Hill
141816-17102019,2019,Dwelling,E05014106,Knight's Hill,532350,171250,West Norwood
141846-18102019,2019,Dwelling,E05013629,Brunswick Park,528250,194650,Southgate
141875-18102019,2019,Dwelling,E05013731,Sydenham,535050,171550,Beckenham
141914-18102019,2019,Dwelling,E05009370,DALSTON,533850,184650,Homerton
141915-18102019,2019,Dwelling,E05013724,Hither Green,539250,172650,Lee Green
142000-18102019,2019,Dwelling,E05013536,South Acton,519550,180150,Acton
142016-18102019,2019,Dwelling,E05013571,Hillingdon East,507350,184450,Hillingdon
142069-18102019,2019,Dwelling,E05009371,DE BEAUVOIR,533050,184350,Islington
142082-18102019,2019,Dwelling,E05011219,BEXLEYHEATH,549050,175150,Bexley
142090-18102019,2019,Dwelling,E05013616,Hanworth Village,511950,172150,Feltham
142147-18102019,2019,Dwelling,E05009391,CHELSEA RIVERSIDE,527150,177750,Chelsea
142212-18102019,2019,Dwelling,E05013747,Sands End,526250,176450,Fulham
142248-18102019,2019,Other Residential,E05013507,Queens Park,523150,182750,North Kensington
142265-19102019,2019,Dwelling,E05009382,SHACKLEWELL,533350,185450,Stoke Newington
142299-19102019,2019,Dwelling,E05014107,Myatt's Fields,531350,177150,Brixton
142303-19102019,2019,Other Residential,E05013651,Woodhouse,526750,192050,Finchley
142333-19102019,2019,Dwelling,E05013714,Bellingham,537850,171550,Beckenham
142341-19102019,2019,Dwelling,E05013944,Surbiton Hill,518350,166250,Surbiton
142363-19102019,2019,Dwelling,E05013779,Hampton North,512250,170950,Twickenham
142421-19102019,2019,Dwelling,E05013945,Tolworth,518950,165550,Surbiton
142449-19102019,2019,Dwelling,E05009318,Blackwall & Cubitt Town,538450,179350,Millwall
142477-19102019,2019,Dwelling,E05013645,Mill Hill,523850,191450,Mill Hill
142497-19102019,2019,Dwelling,E05013690,Ridgeway,530750,197950,Southgate
142533-19102019,2019,Dwelling,E05011217,BARNEHURST,550950,176350,Bexley
142591-19102019,2019,Dwelling,E05014025,Trinity,527750,173250,Tooting
142621-19102019,2019,Dwelling,E05013663,Kentish Town North,529050,185750,Kentish Town
142640-19102019,2019,Dwelling,E05013595,Noel Park,532050,190350,Tottenham
142705-19102019,2019,Dwelling,E05013684,Jubilee,535650,194250,Edmonton
142734-19102019,2019,Dwelling,E05014015,Nine Elms,529750,177350,Lambeth
142762-20102019,2019,Dwelling,E05013752,White City,522550,180950,Hammersmith
142772-20102019,2019,Dwelling,E05013716,Brockley,537250,175950,Lewisham
142838-20102019,2019,Dwelling,E05011106,NORTH BERMONDSEY,533650,180050,Dockhead
142844-20102019,2019,Dwelling,E05013590,Harringay,531650,188250,Hornsey
142900-20102019,2019,Dwelling,E05014094,Woolwich Dockyard,542650,178650,East Greenwich
142914-20102019,2019,Dwelling,E05011230,SIDCUP,546450,172050,Sidcup
142935-20102019,2019,Dwelling,E05013912,Forest Gate South,539550,184950,Stratford
142962-20102019,2019,Dwelling,E05013887,Forest,537950,187750,Leyton
142996-20102019,2019,Dwelling,E05013499,Cricklewood & Mapesbury,524050,185150,West Hampstead
143031-20102019,2019,Dwelling,E05013616,Hanworth Village,512850,172650,Feltham
143032-20102019,2019,Dwelling,E05013906,Canning Town North,539550,182150,Plaistow
143034-20102019,2019,Dwelling,E05013580,Uxbridge,505850,184250,Hillingdon
143047-20102019,2019,Dwelling,E05013642,Golders Green,524150,188250,Hendon
143067-20102019,2019,Dwelling,E05014097,Brixton Rush Common,530950,174050,Brixton
143095-20102019,2019,Dwelling,E05013794,Church Street,527350,181950,Paddington
143108-20102019,2019,Dwelling,E05013583,Yeading,511450,182350,Southall
143162-20102019,2019,Dwelling,E05013701,Canonbury,532850,184050,Islington
143211-21102019,2019,Dwelling,E05014104,Herne Hill & Loughborough Junction,531850,174350,Brixton
143247-21102019,2019,Dwelling,E05013729,Perry Vale,536550,172950,Forest Hill
143284-21102019,2019,Dwelling,E05013812,Colliers Wood,527250,170350,Wimbledon
143300-21102019,2019,Dwelling,E05014083,Kidbrooke Park,542150,176450,Eltham
143369-21102019,2019,Dwelling,E05013912,Forest Gate South,539950,184850,Stratford
143372-21102019,2019,Dwelling,E05013498,Brondesbury Park,524050,184450,Willesden
143374-21102019,2019,Dwelling,E05013926,Wall End,543250,183550,East Ham
143404-21102019,2019,Dwelling,E05014110,Stockwell East,530250,176050,Clapham
143411-21102019,2019,Dwelling,E05013976,Hylands & Harrow Lodge,551650,186950,Hornchurch
143430-21102019,2019,Dwelling,E05013905,Boleyn,541450,183150,East Ham
143438-21102019,2019,Dwelling,E05009329,St. Dunstan's,536250,181750,Bethnal Green
143453-21102019,2019,Dwelling,E05014008,West Wickham,537950,166050,Woodside
143460-21102019,2019,Dwelling,E05013630,Burnt Oak,521050,191250,Mill Hill
143477-21102019,2019,Dwelling,E05013736,College Park & Old Oak,522250,181050,Acton
143569-22102019,2019,Dwelling,E05013633,Colindale South,520850,189550,Stanmore
143573-22102019,2019,Dwelling,E05014074,Charlton Hornfair,541850,176950,East Greenwich
143578-22102019,2019,Dwelling,E05011484,SOUTH CROYDON,532350,163250,Croydon
143599-22102019,2019,Dwelling,E05013528,North Greenford,513850,185350,Northolt
143619-22102019,2019,Dwelling,E05013711,St. Peter's & Canalside,532150,182750,Shoreditch
143660-22102019,2019,Dwelling,E05013751,West Kensington,524550,178050,Hammersmith
143669-22102019,2019,Dwelling,E05013722,Forest Hill,534950,173050,Forest Hill
143694-22102019,2019,Dwelling,E05011108,NUNHEAD & QUEEN'S ROAD,535250,175750,New Cross
143695-22102019,2019,Dwelling,E05014063,Heath,549450,186750,Dagenham
143719-22102019,2019,Dwelling,E05009385,STOKE NEWINGTON,533750,185950,Stoke Newington
143735-22102019,2019,Dwelling,E05013826,Wandle,526250,170350,Wimbledon
143736-22102019,2019,Dwelling,E05014060,Eastbury,545050,183850,Barking
143777-22102019,2019,Dwelling,E05013694,Upper Edmonton,532750,192350,Edmonton
143826-22102019,2019,Dwelling,E05013991,Bromley Town,540850,168450,Bromley
143902-22102019,2019,Dwelling,E05009387,WOODBERRY DOWN,533250,187950,Stoke Newington
143928-22102019,2019,Dwelling,E05014077,Eltham Page,541850,174650,Eltham
143933-22102019,2019,Dwelling,E05013643,Hendon,523450,189750,Hendon
143966-22102019,2019,Dwelling,E05011467,CRYSTAL PALACE & UPPER NORWOOD,533450,170150,Woodside
143988-22102019,2019,Other Residential,E05013726,Lee Green,539350,174650,Lee Green
144011-23102019,2019,Dwelling,E05013717,Catford South,538750,173550,Lewisham
144023-23102019,2019,Dwelling,E05013620,Hounslow Central,513750,176050,Heston
144108-23102019,2019,Dwelling,E05014008,West Wickham,537950,166050,Woodside
144122-23102019,2019,Dwelling,E05014106,Knight's Hill,531350,171650,West Norwood
144179-23102019,2019,Dwelling,E05009380,LEA BRIDGE,535350,185850,Homerton
144230-23102019,2019,Dwelling,E05013540,Southfield,521250,180050,Acton
144231-23102019,2019,Dwelling,E05013651,Woodhouse,526750,192450,Finchley
144274-23102019,2019,Dwelling,E05009396,GOLBORNE,524450,182150,North Kensington
144288-23102019,2019,Dwelling,E05009335,Weavers,534250,182750,Bethnal Green
144318-23102019,2019,Dwelling,E05014113,Streatham Hill East,530950,172650,West Norwood
144341-23102019,2019,Dwelling,E05011240,CLEMENTSWOOD,544450,186050,Ilford
144348-23102019,2019,Dwelling,E05013711,St. Peter's & Canalside,532250,183350,Islington
144368-23102019,2019,Dwelling,E05013916,Manor Park,541750,184650,East Ham
144369-23102019,2019,Dwelling,E05014022,Thamesfield,524050,175550,Wandsworth
144402-23102019,2019,Dwelling,E05014112,Streatham Common & Vale,530150,170250,Norbury
144538-24102019,2019,Dwelling,E05009369,CLISSOLD,532850,186650,Stoke Newington
144587-24102019,2019,Dwelling,E05013600,Stroud Green,531350,187850,Holloway
144612-24102019,2019,Dwelling,E05013809,Westbourne,525250,181750,Paddington
144652-24102019,2019,Dwelling,E05013729,Perry Vale,536950,172550,Forest Hill
144710-24102019,2019,Dwelling,E05013675,Bullsmoor,535150,198750,Enfield
144783-24102019,2019,Other Residential,E05013580,Uxbridge,505650,182750,Hillingdon
144812-24102019,2019,Dwelling,E05011465,BROAD GREEN,530750,166850,Norbury
144814-24102019,2019,Dwelling,E05013534,Perivale,515950,183350,Northolt
144818-24102019,2019,Dwelling,E05013658,Gospel Oak,528150,185550,Kentish Town
144836-24102019,2019,Dwelling,E05009372,HACKNEY CENTRAL,534550,185450,Homerton
144855-24102019,2019,Dwelling,E05014007,St. Paul's Cray,546550,169150,Orpington
144875-24102019,2019,Dwelling,E05013912,Forest Gate South,540550,185050,Stratford
144876-24102019,2019,Dwelling,E05009404,ST. HELEN'S,523750,181750,North Kensington
144887-24102019,2019,Dwelling,E05009320,Bow West,536150,183450,Bethnal Green
144907-24102019,2019,Dwelling,E05011484,SOUTH CROYDON,532550,163250,Croydon
144910-24102019,2019,Dwelling,E05009375,HAGGERSTON,533750,183550,Shoreditch
144931-25102019,2019,Dwelling,E05014098,Brixton Windrush,531750,175050,Brixton
144968-25102019,2019,Dwelling,E05013643,Hendon,524150,189250,Hendon
144982-25102019,2019,Dwelling,E05013770,Wallington North,528650,165450,Wallington
144984-25102019,2019,Dwelling,E05013708,Laycock,530950,184650,Islington
144991-25102019,2019,Dwelling,E05013655,Camden Town,528750,183950,Kentish Town
144994-25102019,2019,Dwelling,E05013527,North Acton,519350,180450,Acton
145049-25102019,2019,Dwelling,E05013707,Junction,529250,185850,Kentish Town
145120-25102019,2019,Dwelling,E05011232,THAMESMEAD EAST,547750,179350,Erith
145125-25102019,2019,Dwelling,E05014087,Plumstead & Glyndon,545350,178350,Plumstead
145163-25102019,2019,Dwelling,E05011235,BARKINGSIDE,544050,189250,Hainault
145170-25102019,2019,Dwelling,E05009374,HACKNEY WICK,535750,184550,Homerton
145171-25102019,2019,Dwelling,E05013908,Custom House,541450,181550,Plaistow
145173-25102019,2019,Other Residential,E05011114,ST. GEORGE'S,531650,179450,Dowgate
145177-25102019,2019,Dwelling,E05013800,Maida Vale,525150,182450,Paddington
145237-25102019,2019,Dwelling,E05009331,St. Peter's,534450,183450,Bethnal Green
145273-25102019,2019,Dwelling,E05011225,ERITH,550550,178450,Erith
145313-25102019,2019,Dwelling,E05013822,Ravensbury,527250,167950,Mitcham
145345-25102019,2019,Dwelling,E05013753,Wormholt,522050,180450,Acton
145379-25102019,2019,Dwelling,E05014029,West Hill,523950,173750,Wandsworth
145585-26102019,2019,Dwelling,E05011254,WANSTEAD PARK,540350,186850,Leytonstone
145603-26102019,2019,Dwelling,E05013703,Finsbury Park,530650,186450,Holloway
145613-26102019,2019,Dwelling,E05014096,Brixton North,531250,175950,Brixton
145641-26102019,2019,Dwelling,E05013594,Muswell Hill,528950,189350,Hornsey
145688-26102019,2019,Dwelling,E05013943,St. Mark's & Seething Wells,517550,167150,Surbiton
145703-26102019,2019,Dwelling,E05013771,Wallington South,529450,163950,Wallington
145735-26102019,2019,Dwelling,E05011479,SELHURST,532150,166650,Croydon
145745-26102019,2019,Dwelling,E05013510,Stonebridge,520450,184550,Park Royal
145800-26102019,2019,Dwelling,E05013524,Hanger Hill,518850,181550,Acton
145806-26102019,2019,Dwelling,E05014023,Tooting Bec,527450,172350,Tooting
145816-26102019,2019,Dwelling,E05013939,Motspur Park & Old Malden East,521650,167550,New Malden
145827-26102019,2019,Other Residential,E05014059,Eastbrook & Rush Green,551450,187350,Dagenham
145841-26102019,2019,Dwelling,E05013808,West End,529550,181450,Soho
145897-27102019,2019,Dwelling,E05014020,South Balham,528550,172550,Tooting
146066-27102019,2019,Dwelling,E05013975,Heaton,553650,192050,Harold Hill
146129-27102019,2019,Dwelling,E05013607,Brentford East,518650,177850,Chiswick
146192-27102019,2019,Dwelling,E05009321,Bromley North,537550,182750,Poplar
146205-27102019,2019,Dwelling,E05011236,BRIDGE,541350,191850,Woodford
146217-27102019,2019,Dwelling,E05013689,Ponders End,535750,195850,Enfield
146278-27102019,2019,Dwelling,E05011478,SANDERSTEAD,533950,161350,Purley
146283-27102019,2019,Other Residential,E05013914,Green Street West,540350,183950,Stratford
146309-27102019,2019,Dwelling,E05013618,Heston East,513350,177950,Heston
146341-27102019,2019,Dwelling,E05013522,East Acton,520350,181150,Acton
146369-27102019,2019,Dwelling,E05013496,Alperton,518450,184050,Wembley
146387-27102019,2019,Dwelling,E05013528,North Greenford,514950,185050,Northolt
